2024-03-15T10:43:10.625+0800 I CONTROL  [initandlisten] MongoDB starting : pid=30736 port=9101 dbpath=D:\Workspace\Parasoft\soavirt_workspace\2023.1\.metadata\EmbeddedDataRepository\repositories 64-bit host=CD-jchen
2024-03-15T10:43:14.172+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:58233 #10 (2 connections now open)
2024-03-15T10:43:14.173+0800 I NETWORK  [conn10] received client metadata from 127.0.0.1:58233 conn10: { driver: { name: "mongo-java-driver|sync", version: "4.7.1" }, os: { type: "Windows", name: "Windows 11", architecture: "amd64", version: "10.0" }, platform: "Java/Azul Systems, Inc./11.0.16.1+1-LTS" }
2024-03-15T10:43:14.180+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:58234 #11 (3 connections now open)
2024-03-15T10:43:14.181+0800 I NETWORK  [conn11] received client metadata from 127.0.0.1:58234 conn11: { driver: { name: "mongo-java-driver|sync", version: "4.7.1" }, os: { type: "Windows", name: "Windows 11", architecture: "amd64", version: "10.0" }, platform: "Java/Azul Systems, Inc./11.0.16.1+1-LTS" }
2024-03-15T10:43:14.194+0800 I ACCESS   [conn11] Successfully authenticated as principal parasoft_embedded_repo on admin
2024-03-15T10:43:14.198+0800 I NETWORK  [conn11] end connection 127.0.0.1:58234 (2 connections now open)
2024-03-15T10:43:14.199+0800 I NETWORK  [conn9] end connection 127.0.0.1:58232 (1 connection now open)
2024-03-15T10:43:14.200+0800 I NETWORK  [conn10] end connection 127.0.0.1:58233 (0 connections now open)
2024-03-15T10:43:15.781+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:58238 #12 (1 connection now open)
2024-03-15T10:43:15.781+0800 I NETWORK  [conn12] received client metadata from 127.0.0.1:58238 conn12: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.8" }, os: { type: "Windows", name: "Microsoft Windows 10", architecture: "x86_64", version: "10.0 (build 22631)" } }
2024-03-15T10:43:15.783+0800 I ACCESS   [conn12] Unauthorized: not authorized on admin to execute command { createUser: "parasoft_embedded_repo", pwd: "xxx", roles: [ { role: "root", db: "admin" } ], digestPassword: false, writeConcern: { w: "majority", wtimeout: 600000.0 }, $db: "admin" }
2024-03-15T10:43:15.785+0800 I NETWORK  [conn12] end connection 127.0.0.1:58238 (0 connections now open)
2024-03-15T10:50:04.901+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:58420 #13 (1 connection now open)
2024-03-15T10:50:04.912+0800 I NETWORK  [conn13] received client metadata from 127.0.0.1:58420 conn13: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.6.8" }, os: { type: "Windows", name: "Microsoft Windows 10", architecture: "x86_64", version: "10.0 (build 22631)" } }
2024-03-15T10:50:04.930+0800 I ACCESS   [conn13] Successfully authenticated as principal parasoft_embedded_repo on admin
2024-03-15T10:50:04.935+0800 I COMMAND  [conn13] terminating, shutdown command received
2024-03-15T10:50:04.935+0800 I NETWORK  [conn13] shutdown: going to close listening sockets...
2024-03-15T10:50:04.936+0800 I FTDC     [conn13] Shutting down full-time diagnostic data capture
2024-03-15T10:50:04.939+0800 I STORAGE  [conn13] WiredTigerKVEngine shutting down
2024-03-15T10:50:04.958+0800 I STORAGE  [conn13] shutdown: removing fs lock...
2024-03-15T10:50:04.959+0800 I CONTROL  [conn13] now exiting
2024-03-15T10:50:04.959+0800 I CONTROL  [conn13] shutting down with code:0
